Email Address,Empty Column,Are you interested in working on a self-designed project?,Domain 1,Domain 2,Domain 3,Domain 4,Domain 5
Person44,,Yes,Education and/or Training,Entrepreneurship,Rural Development,,
Person45,,Yes,Environment & Natural Resources,Power and Energy,Water and Sanitation,,
Person46,,I'm not sure,Education and/or Training,Gender,I'd like to include 'Sexuality and the Queer community.',,
Person47,,Yes,Art/Heritage/Culture,Fashion,Handicrafts and Textiles,,
Person48,,No,Education and/or Training,Health and Healthcare,Media and Entertainment,,
Person49,,Yes,Education and/or Training,Environment & Natural Resources,Governance/Politics/Policy,,
Person50,,Yes,Education and/or Training,Environment & Natural Resources,Governance/Politics/Policy,,
Person51,,I'm not sure,Art/Heritage/Culture,Health and Healthcare,Psychology,,
Person52,,I'm not sure,Digital Technology,Education and/or Training,Entrepreneurship,,
Person53,,I'm not sure,Banking and/or Finance,Commerce and Industries,Digital Technology,,
Person54,,I'm not sure,Art/Heritage/Culture,Digital Technology,Education and/or Training,,
Person55,,No,Agriculture,Handicrafts and Textiles,Rural Development,,
Person56,,Yes,Commerce and Industries,Education and/or Training,Sports,,
Person57,,Yes,Art/Heritage/Culture,Education and/or Training,Handicrafts and Textiles,,
Person58,,No,Commerce and Industries,Education and/or Training,Management Consulting,,
Person59,,No,Education and/or Training,Gender,Rural Development,,
Person60,,No,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person61,,No,Banking and/or Finance,Governance/Politics/Policy,Economics,,
Person62,,No,Banking and/or Finance,Foreign Policy,Governance/Politics/Policy,,
Person63,,No,Banking and/or Finance,Foreign Policy,Governance/Politics/Policy,,
Person64,,I'm not sure,Education and/or Training,Food and Beverages,Health and Healthcare,,
Person65,,I'm not sure,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person66,,No,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person67,,No,Governance/Politics/Policy,Health and Healthcare,Law and/or Human Rights,,
Person68,,Yes,Education and/or Training,Management Consulting,Media and Entertainment,,
Person69,,I'm not sure,Digital Technology,Education and/or Training,Management Consulting,,
Person70,,No,Digital Technology,Education and/or Training,Health and Healthcare,,
Person71,,I'm not sure,Education and/or Training,Management Consulting,Media and Entertainment,,
Person72,,I'm not sure,Art/Heritage/Culture,Education and/or Training,Media and Entertainment,,
Person73,,I'm not sure,Banking and/or Finance,Management Consulting,Media and Entertainment,,
Person74,,No,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person75,,I'm not sure,Education and/or Training,Environment & Natural Resources,Health and Healthcare,,
Person76,,Yes,Education and/or Training,Entrepreneurship,Environment & Natural Resources,,
Person77,,Yes,Education and/or Training,Entrepreneurship,Gender,,
Person78,,No,Education and/or Training,Gender,Law and/or Human Rights,,
Person79,,I'm not sure,Governance/Politics/Policy,Housing & Urban Development,Rural Development,,
Person80,,Yes,Environment & Natural Resources,Governance/Politics/Policy,Rural Development,,
Person81,,Yes,Commerce and Industries,Entrepreneurship,Power and Energy,,
Person82,,Yes,AI and Robotics,Governance/Politics/Policy,Rural Development,,
Person83,,Yes,Entrepreneurship,Environment & Natural Resources,Media and Entertainment,,
Person84,,No,Education and/or Training,Environment & Natural Resources,Governance/Politics/Policy,,
Person85,,I'm not sure,Commerce and Industries,Entrepreneurship,Environment & Natural Resources,,
Person86,,I'm not sure,Banking and/or Finance,Foreign Policy,Governance/Politics/Policy,,
Person87,,No,Education and/or Training,Environment & Natural Resources,Governance/Politics/Policy,,
Person88,,I'm not sure,Education and/or Training,Gender,Rural Development,,
Person89,,I'm not sure,Media and Entertainment,Power and Energy,Rural Development,,
Person90,,I'm not sure,Commerce and Industries,Digital Technology,Housing & Urban Development,,
Person91,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Housing & Urban Development,,
Person92,,Yes,Entrepreneurship,Governance/Politics/Policy,Rural Development,,
Person93,,I'm not sure,AI and Robotics,Banking and/or Finance,Management Consulting,,
Person94,,Yes,Education and/or Training,Gender,Governance/Politics/Policy,,
Person95,,I'm not sure,Banking and/or Finance,Digital Technology,Management Consulting,,
Person96,,No,Education and/or Training,Foreign Policy,Media and Entertainment,,
Person97,,No,Environment & Natural Resources,Holistic Development and Wellness,Power and Energy,,
Person98,,No,Art/Heritage/Culture,Education and/or Training,Media and Entertainment,,
Person99,,I'm not sure,Commerce and Industries,Entrepreneurship,Management Consulting,,
Person100,,I'm not sure,AI and Robotics,Entrepreneurship,Media and Entertainment,,
Person101,,I'm not sure,Gender,Governance/Politics/Policy,Rural Development,,
Person102,,No,Education and/or Training,Environment & Natural Resources,Health and Healthcare,,
Person103,,I'm not sure,Art/Heritage/Culture,Handicrafts and Textiles,Media and Entertainment,,
Person104,,I'm not sure,Education and/or Training,Handicrafts and Textiles,Law and/or Human Rights,,
Person105,,Yes,Education and/or Training,Entrepreneurship,Media and Entertainment,,
Person106,,No,Education and/or Training,Environment & Natural Resources,Health and Healthcare,,
Person107,,No,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person108,,No,Digital Technology,Governance/Politics/Policy,Media and Entertainment,,
Person109,,Yes,Digital Technology,Governance/Politics/Policy,Management Consulting,,
Person110,,I'm not sure,Education and/or Training,Gender,Law and/or Human Rights,,
Person111,,Yes,Education and/or Training,Gender,Governance/Politics/Policy,,
Person112,,I'm not sure,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person113,,I'm not sure,Commerce and Industries,Digital Technology,Governance/Politics/Policy,,
Person114,,Yes,Banking and/or Finance,Environment & Natural Resources,Gender,,
Person115,,No,Digital Technology,Education and/or Training,Management Consulting,,
Person116,,I'm not sure,Education and/or Training,Gender,Media and Entertainment,,
Person117,,I'm not sure,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person118,,Yes,Banking and/or Finance,Environment & Natural Resources,Management Consulting,,
Person119,,No,Education and/or Training,Entrepreneurship,Governance/Politics/Policy,,
Person120,,No,Commerce and Industries,Foreign Policy,Governance/Politics/Policy,,
Person121,,I'm not sure,Digital Technology,Foreign Policy,Management Consulting,,
Person122,,Yes,AI and Robotics,Food and Beverages,Media and Entertainment,,
Person123,,Yes,Digital Technology,Environment & Natural Resources,Media and Entertainment,,
Person124,,I'm not sure,Governance/Politics/Policy,Health and Healthcare,Law and/or Human Rights,,
Person125,,No,Banking and/or Finance,Health and Healthcare,Power and Energy,,
Person126,,I'm not sure,Art/Heritage/Culture,Gender,Media and Entertainment,,
Person127,,I'm not sure,Banking and/or Finance,Entrepreneurship,Management Consulting,,
Person128,,I'm not sure,Environment & Natural Resources,Governance/Politics/Policy,Rural Development,,
Person129,,No,Governance/Politics/Policy,International Relations,Rural Development,,
Person130,,I'm not sure,Education and/or Training,Gender,Rural Development,,
Person131,,Yes,Banking and/or Finance,Commerce and Industries,Housing & Urban Development,,
Person132,,No,Digital Technology,Education and/or Training,Governance/Politics/Policy,,
Person133,,I'm not sure,Art/Heritage/Culture,Foreign Policy,Governance/Politics/Policy,,
Person134,,No,Commerce and Industries,Foreign Policy,Governance/Politics/Policy,,
Person135,,I'm not sure,Digital Technology,Foreign Policy,Governance/Politics/Policy,,
Person136,,No,Handicrafts and Textiles,Health and Healthcare,Management Consulting,,
Person137,,I'm not sure,Education and/or Training,Environment & Natural Resources,Rural Development,,
Person138,,Yes,Environment & Natural Resources,Management Consulting,Power and Energy,,
Person139,,No,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person140,,Yes,Art/Heritage/Culture,Education and/or Training,Environment & Natural Resources,,
Person141,,I'm not sure,Digital Technology,Gender,Media and Entertainment,,
Person142,,No,Environment & Natural Resources,Governance/Politics/Policy,Housing & Urban Development,,
Person143,,No,Education and/or Training,Governance/Politics/Policy,Rural Development,,
Person144,,No,Education and/or Training,Entrepreneurship,Organisational Behaviour,,
Person145,,I'm not sure,Banking and/or Finance,Commerce and Industries,Management Consulting,,
Person146,,I'm not sure,Education and/or Training,Foreign Policy,International Relations,,
Person147,,I'm not sure,Art/Heritage/Culture,Education and/or Training,Housing & Urban Development,,
Person148,,I'm not sure,Environment & Natural Resources,Governance/Politics/Policy,Law and/or Human Rights,,
Person149,,No,Digital Technology,Education and/or Training,Sports,,
Person150,,No,Education and/or Training,Governance/Politics/Policy,Law and/or Human Rights,,
Person151,,Yes,Environment & Natural Resources,Holistic Development and Wellness,Management Consulting,,
Person152,,No,Banking and/or Finance,Digital Technology,Education and/or Training,,
Person153,,I'm not sure,Digital Technology,Governance/Politics/Policy,Health and Healthcare,,
Person154,,No,Education and/or Training,Health and Healthcare,Rural Development,,
Person155,,No,Art/Heritage/Culture,Education and/or Training,Media and Entertainment,,
Person156,,I'm not sure,Commerce and Industries,Digital Technology,Governance/Politics/Policy,,
Person157,,No,Education and/or Training,Governance/Politics/Policy,Media and Entertainment,,
Person158,,I'm not sure,Commerce and Industries,Governance/Politics/Policy,Management Consulting,,
Person159,,I'm not sure,Commerce and Industries,Entrepreneurship,Management Consulting,,
Person160,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Rural Development,,
Person161,,Yes,Digital Technology,Health and Healthcare,Water and Sanitation,,
Person162,,I'm not sure,Education and/or Training,Entrepreneurship,Handicrafts and Textiles,,
Person163,,I'm not sure,Digital Technology,Environment & Natural Resources,Governance/Politics/Policy,,
Person164,,I'm not sure,Foreign Policy,International Relations,Law and/or Human Rights,,
Person165,,No,Fashion,Food and Beverages,Governance/Politics/Policy,,
Person166,,I'm not sure,Banking and/or Finance,Education and/or Training,Health and Healthcare,,
Person167,,No,Fashion,Food and Beverages,Governance/Politics/Policy,,
Person168,,Yes,Education and/or Training,Governance/Politics/Policy,Rural Development,,
Person169,,I'm not sure,Food and Beverages,Management Consulting,Media and Entertainment,,
Person170,,No,Environment & Natural Resources,Food and Beverages,Governance/Politics/Policy,,
Person171,,No,Art/Heritage/Culture,Education and/or Training,Gender,,
Person172,,I'm not sure,Banking and/or Finance,Management Consulting,Organisational Behaviour,,
Person173,,I'm not sure,Agriculture,Environment & Natural Resources,International Relations,,
Person174,,I'm not sure,Governance/Politics/Policy,Health and Healthcare,Law and/or Human Rights,,
Person175,,No,Digital Technology,Education and/or Training,Management Consulting,,
Person176,,No,Digital Technology,Education and/or Training,Housing & Urban Development,,
Person177,,Yes,Commerce and Industries,Education and/or Training,Management Consulting,,
Person178,,No,Digital Technology,Education and/or Training,Power and Energy,,
Person179,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Housing & Urban Development,,
Person180,,I'm not sure,Foreign Policy,Governance/Politics/Policy,International Relations,,
Person181,,No,Education and/or Training,Governance/Politics/Policy,International Relations,,
Person182,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Law and/or Human Rights,,
Person183,,I'm not sure,Education and/or Training,Governance/Politics/Policy,Health and Healthcare,,
Person184,,Yes,Digital Technology,Education and/or Training,Environment & Natural Resources,,
Person185,,I'm not sure,Digital Technology,Education and/or Training,Environment & Natural Resources,,
Person186,,,Agriculture,Environment & Natural Resources,Rural Development,,
Person187,,,Health and Healthcare,Housing & Urban Development,Governance/Politics/Policy,,
